Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D10.0mm_P5.00mm,2,4u7,
C3,CP_Radial_D10.0mm_P2.50mm,1,100u,
"C4, C5, C6, C7",1812,4,100n,
"D1, D2",D_DO-41_SOD81_P7.62mm_Horizontal,2,1N4007,
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4742A,
"D4, D5",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4756A,
F1,Fuseholder_TR5_Littelfuse_No560_No460,1,Fuse,
J1,TE_826576-2_1x02_P3.96mm_Vertical,1,AC Line,
"J2, J3",TE_826576-3_1x03_P3.96mm_Vertical,2,Conn_01x03,
"K1, K2",Relay_SPDT_Omron-G5LE-1,2,G5LE-1,
Q1,SOT-23,1,BC817,
Q2,TO-252-2,1,STD3NM60,
"R1, R2, R3, R4",2512,4,560k,
"R10, R7, R8, R9",2512,4,100k,
"R11, R13, R14, R15, R16",1206,5,100,
R12,1206,1,82,
R5,1206,1,6k8,
R6,1206,1,470,
RV1,RV_Disc_D9mm_W6.1mm_P5mm,1,271,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TL431D,
