Designator,Mid X,Mid Y,Rotation,Layer
C1,134.538323,-94.742,0.0,top
C2,134.366,-83.566,0.0,top
C3,115.316,-109.18,90.0,top
C4,169.672,-77.978,180.0,bottom
C5,169.672,-92.202,180.0,bottom
C6,169.672,-112.522,180.0,bottom
C7,169.672,-98.298,180.0,bottom
D1,130.302,-78.994,180.0,top
D2,122.682,-83.058,180.0,top
D3,123.952,-113.284,90.0,top
D4,151.3925,-80.518,270.0,top
D5,151.3925,-99.822,270.0,top
F1,108.448,-90.678,90.0,top
J1,110.236,-96.266,270.0,top
J2,186.4445,-81.742,270.0,top
J3,186.4445,-101.046,270.0,top
K1,159.5205,-85.598,90.0,top
K2,159.5205,-104.902,90.0,top
Q1,132.334,-104.14,90.0,top
Q2,142.3615,-105.665,0.0,top
R1,128.0245,-87.374,270.0,bottom
R10,145.796,-92.712,270.0,bottom
R11,129.54,-109.246,270.0,top
R12,133.35,-109.194,90.0,top
R13,167.64,-87.604,90.0,bottom
R14,167.64,-82.576,270.0,bottom
R15,167.64,-107.924,90.0,bottom
R16,167.64,-102.896,270.0,bottom
R2,128.0245,-96.518,270.0,top
R3,128.016,-87.376,270.0,top
R4,128.0245,-96.518,270.0,bottom
R5,134.874,-99.542,270.0,bottom
R6,134.874,-104.902,270.0,bottom
R7,145.796,-83.566,270.0,top
R8,145.8045,-92.712,270.0,top
R9,145.8045,-83.568,270.0,bottom
RV1,120.466,-97.202,90.0,top
U1,132.08,-111.252,0.0,bottom
