Designator,Mid X,Mid Y,Rotation,Layer
C1_2,40.065323,-78.628,0.0,top
C1,40.065323,-30.622,0.0,top
C2_2,39.893,-19.446,0.0,top
C2,39.893,-67.452,0.0,top
C3_2,20.843,-93.066,90.0,top
C3,20.843,-45.06,90.0,top
C4_2,75.199,-61.864,180.0,bottom
C4,75.199,-13.858,180.0,bottom
C5_2,75.199,-28.082,180.0,bottom
C5,75.199,-76.088,180.0,bottom
C6_2,75.199,-48.402,180.0,bottom
C6,75.199,-96.408,180.0,bottom
C7_2,75.199,-82.184,180.0,bottom
C7,75.199,-34.178,180.0,bottom
D1_2,35.829,-14.874,180.0,top
D1,35.829,-62.88,180.0,top
D2_2,28.209,-66.944,180.0,top
D2,28.209,-18.938,180.0,top
D3_2,29.479,-49.164,90.0,top
D3,29.479,-97.17,90.0,top
D4_2,56.9195,-64.404,270.0,top
D4,56.9195,-16.398,270.0,top
D5_2,56.9195,-83.708,270.0,top
D5,56.9195,-35.702,270.0,top
F1_2,13.975,-74.564,90.0,top
F1,13.975,-26.558,90.0,top
J1_2,15.763,-32.146,270.0,top
J1,15.763,-80.152,270.0,top
J2_2,91.9715,-65.628,270.0,top
J2,91.9715,-17.622,270.0,top
J3_2,91.9715,-36.926,270.0,top
J3,91.9715,-84.932,270.0,top
K1_2,65.0475,-69.484,90.0,top
K1,65.0475,-21.478,90.0,top
K2_2,65.0475,-40.782,90.0,top
K2,65.0475,-88.788,90.0,top
Q1_2,37.861,-88.026,90.0,top
Q1,37.861,-40.02,90.0,top
Q2_2,47.8885,-41.545,0.0,top
Q2,47.8885,-89.551,0.0,top
R1_2,33.5515,-71.26,270.0,bottom
R1,33.5515,-23.254,270.0,bottom
R10_2,51.323,-76.598,270.0,bottom
R10,51.323,-28.592,270.0,bottom
R11_2,35.067,-93.132,270.0,top
R11,35.067,-45.126,270.0,top
R12_2,38.877,-45.074,90.0,top
R12,38.877,-93.08,90.0,top
R13_2,73.167,-71.49,90.0,bottom
R13,73.167,-23.484,90.0,bottom
R14_2,73.167,-66.462,270.0,bottom
R14,73.167,-18.456,270.0,bottom
R15_2,73.167,-43.804,90.0,bottom
R15,73.167,-91.81,90.0,bottom
R16_2,73.167,-38.776,270.0,bottom
R16,73.167,-86.782,270.0,bottom
R2_2,33.5515,-80.404,270.0,top
R2,33.5515,-32.398,270.0,top
R3_2,33.543,-71.262,270.0,top
R3,33.543,-23.256,270.0,top
R4_2,33.5515,-80.404,270.0,bottom
R4,33.5515,-32.398,270.0,bottom
R5_2,40.401,-83.428,270.0,bottom
R5,40.401,-35.422,270.0,bottom
R6_2,40.401,-40.782,270.0,bottom
R6,40.401,-88.788,270.0,bottom
R7_2,51.323,-19.446,270.0,top
R7,51.323,-67.452,270.0,top
R8_2,51.3315,-28.592,270.0,top
R8,51.3315,-76.598,270.0,top
R9_2,51.3315,-67.454,270.0,bottom
R9,51.3315,-19.448,270.0,bottom
RV1_2,25.993,-33.082,90.0,top
RV1,25.993,-81.088,90.0,top
U1_2,37.607,-95.138,0.0,bottom
U1,37.607,-47.132,0.0,bottom
